id,x,y,marker
465,160,267,FITC+TxRed-A-2
466,152,280,FITC+TxRed-A-2
467,138,290,FITC+TxRed-A-2
468,102,282,FITC+TxRed-A-2
469,32,242,FITC+TxRed-A-2
470,6,259,FITC+TxRed-A-2
471,8,284,FITC+TxRed-A-2
472,121,310,FITC+TxRed-A-2
473,147,321,FITC+TxRed-A-2
474,162,348,FITC+TxRed-A-2
475,130,360,FITC+TxRed-A-2
476,123,377,FITC+TxRed-A-2
477,119,393,FITC+TxRed-A-2
478,136,405,FITC+TxRed-A-2
479,116,422,FITC+TxRed-A-2
480,102,438,FITC+TxRed-A-2
481,70,419,FITC+TxRed-A-2
482,39,433,FITC+TxRed-A-2
483,13,450,FITC+TxRed-A-2
484,44,340,FITC+TxRed-A-2
485,35,356,FITC+TxRed-A-2
486,27,292,FITC+TxRed-A-2
487,137,475,FITC+TxRed-A-2
488,190,484,FITC+TxRed-A-2
489,174,476,FITC+TxRed-A-2
490,218,515,FITC+TxRed-A-2
491,204,526,FITC+TxRed-A-2
492,211,547,FITC+TxRed-A-2
493,197,576,FITC+TxRed-A-2
494,185,562,FITC+TxRed-A-2
495,150,548,FITC+TxRed-A-2
496,164,538,FITC+TxRed-A-2
497,139,523,FITC+TxRed-A-2
498,156,508,FITC+TxRed-A-2
499,106,544,FITC+TxRed-A-2
500,99,558,FITC+TxRed-A-2
501,144,569,FITC+TxRed-A-2
502,73,562,FITC+TxRed-A-2
503,44,559,FITC+TxRed-A-2
504,45,619,FITC+TxRed-A-2
505,17,664,FITC+TxRed-A-2
506,9,641,FITC+TxRed-A-2
507,8,604,FITC+TxRed-A-2
508,58,677,FITC+TxRed-A-2
509,64,709,FITC+TxRed-A-2
510,31,725,FITC+TxRed-A-2
511,13,698,FITC+TxRed-A-2
512,127,790,FITC+TxRed-A-2
513,111,815,FITC+TxRed-A-2
514,136,872,FITC+TxRed-A-2
515,105,860,FITC+TxRed-A-2
516,116,889,FITC+TxRed-A-2
517,164,889,FITC+TxRed-A-2
518,181,918,FITC+TxRed-A-2
519,151,945,FITC+TxRed-A-2
520,81,900,FITC+TxRed-A-2
521,62,784,FITC+TxRed-A-2
522,175,971,FITC+TxRed-A-2
523,164,997,FITC+TxRed-A-2
524,196,1005,FITC+TxRed-A-2
525,214,997,FITC+TxRed-A-2
526,204,981,FITC+TxRed-A-2
527,216,969,FITC+TxRed-A-2
528,230,950,FITC+TxRed-A-2
529,258,971,FITC+TxRed-A-2
530,271,950,FITC+TxRed-A-2
531,324,976,FITC+TxRed-A-2
532,322,943,FITC+TxRed-A-2
533,332,913,FITC+TxRed-A-2
534,269,896,FITC+TxRed-A-2
535,221,879,FITC+TxRed-A-2
536,297,829,FITC+TxRed-A-2
537,399,1003,FITC+TxRed-A-2
538,385,943,FITC+TxRed-A-2
539,376,912,FITC+TxRed-A-2
540,350,903,FITC+TxRed-A-2
541,404,877,FITC+TxRed-A-2
542,377,881,FITC+TxRed-A-2
543,394,858,FITC+TxRed-A-2
544,331,844,FITC+TxRed-A-2
545,372,765,FITC+TxRed-A-2
546,315,779,FITC+TxRed-A-2
547,359,732,FITC+TxRed-A-2
548,321,665,FITC+TxRed-A-2
549,331,596,FITC+TxRed-A-2
550,310,582,FITC+TxRed-A-2
551,283,571,FITC+TxRed-A-2
552,282,554,FITC+TxRed-A-2
553,257,604,FITC+TxRed-A-2
554,268,671,FITC+TxRed-A-2
555,391,571,FITC+TxRed-A-2
556,401,604,FITC+TxRed-A-2
557,367,574,FITC+TxRed-A-2
558,406,544,FITC+TxRed-A-2
559,375,531,FITC+TxRed-A-2
560,263,59,FITC+TxRed-A-2
561,380,10,FITC+TxRed-A-2
562,358,64,FITC+TxRed-A-2
563,339,49,FITC+TxRed-A-2
564,335,16,FITC+TxRed-A-2
565,405,68,FITC+TxRed-A-2
566,379,138,FITC+TxRed-A-2
567,361,162,FITC+TxRed-A-2
568,347,222,FITC+TxRed-A-2
569,329,235,FITC+TxRed-A-2
570,332,256,FITC+TxRed-A-2
571,317,281,FITC+TxRed-A-2
572,327,303,FITC+TxRed-A-2
573,318,329,FITC+TxRed-A-2
574,348,315,FITC+TxRed-A-2
575,354,368,FITC+TxRed-A-2
576,327,361,FITC+TxRed-A-2
577,307,360,FITC+TxRed-A-2
578,314,394,FITC+TxRed-A-2
579,342,400,FITC+TxRed-A-2
580,350,418,FITC+TxRed-A-2
581,347,436,FITC+TxRed-A-2
582,342,455,FITC+TxRed-A-2
583,301,457,FITC+TxRed-A-2
584,332,539,FITC+TxRed-A-2
585,382,501,FITC+TxRed-A-2
586,422,497,FITC+TxRed-A-2
587,432,486,FITC+TxRed-A-2
588,456,458,FITC+TxRed-A-2
589,448,419,FITC+TxRed-A-2
590,440,394,FITC+TxRed-A-2
591,415,382,FITC+TxRed-A-2
592,390,385,FITC+TxRed-A-2
593,394,368,FITC+TxRed-A-2
594,390,334,FITC+TxRed-A-2
595,386,277,FITC+TxRed-A-2
596,404,276,FITC+TxRed-A-2
597,398,251,FITC+TxRed-A-2
598,441,295,FITC+TxRed-A-2
599,443,278,FITC+TxRed-A-2
600,441,257,FITC+TxRed-A-2
601,447,227,FITC+TxRed-A-2
602,458,204,FITC+TxRed-A-2
603,479,225,FITC+TxRed-A-2
604,484,200,FITC+TxRed-A-2
605,518,208,FITC+TxRed-A-2
606,483,172,FITC+TxRed-A-2
607,474,154,FITC+TxRed-A-2
608,442,136,FITC+TxRed-A-2
609,470,143,FITC+TxRed-A-2
610,460,107,FITC+TxRed-A-2
611,511,149,FITC+TxRed-A-2
612,525,142,FITC+TxRed-A-2
613,527,128,FITC+TxRed-A-2
614,513,116,FITC+TxRed-A-2
615,523,173,FITC+TxRed-A-2
616,526,190,FITC+TxRed-A-2
617,553,116,FITC+TxRed-A-2
618,501,75,FITC+TxRed-A-2
619,615,30,FITC+TxRed-A-2
620,617,6,FITC+TxRed-A-2
621,646,16,FITC+TxRed-A-2
622,670,14,FITC+TxRed-A-2
623,634,42,FITC+TxRed-A-2
624,754,14,FITC+TxRed-A-2
625,729,40,FITC+TxRed-A-2
626,687,70,FITC+TxRed-A-2
627,704,139,FITC+TxRed-A-2
628,712,169,FITC+TxRed-A-2
629,864,99,FITC+TxRed-A-2
630,876,114,FITC+TxRed-A-2
631,857,119,FITC+TxRed-A-2
632,879,137,FITC+TxRed-A-2
633,985,130,FITC+TxRed-A-2
634,1006,92,FITC+TxRed-A-2
635,1016,72,FITC+TxRed-A-2
636,1017,47,FITC+TxRed-A-2
637,976,26,FITC+TxRed-A-2
638,909,24,FITC+TxRed-A-2
639,978,70,FITC+TxRed-A-2
640,932,151,FITC+TxRed-A-2
641,871,197,FITC+TxRed-A-2
642,875,219,FITC+TxRed-A-2
643,854,174,FITC+TxRed-A-2
644,817,187,FITC+TxRed-A-2
645,798,175,FITC+TxRed-A-2
646,791,200,FITC+TxRed-A-2
647,759,209,FITC+TxRed-A-2
648,764,252,FITC+TxRed-A-2
649,802,273,FITC+TxRed-A-2
650,852,262,FITC+TxRed-A-2
651,864,317,FITC+TxRed-A-2
652,825,322,FITC+TxRed-A-2
653,828,281,FITC+TxRed-A-2
654,866,365,FITC+TxRed-A-2
655,889,396,FITC+TxRed-A-2
656,874,407,FITC+TxRed-A-2
657,853,415,FITC+TxRed-A-2
658,973,569,FITC+TxRed-A-2
659,955,578,FITC+TxRed-A-2
660,932,564,FITC+TxRed-A-2
661,918,531,FITC+TxRed-A-2
662,934,520,FITC+TxRed-A-2
663,913,513,FITC+TxRed-A-2
664,857,488,FITC+TxRed-A-2
665,890,567,FITC+TxRed-A-2
666,870,576,FITC+TxRed-A-2
667,847,571,FITC+TxRed-A-2
668,852,598,FITC+TxRed-A-2
669,897,606,FITC+TxRed-A-2
670,919,605,FITC+TxRed-A-2
671,1011,625,FITC+TxRed-A-2
672,987,608,FITC+TxRed-A-2
673,984,587,FITC+TxRed-A-2
674,985,549,FITC+TxRed-A-2
675,1012,685,FITC+TxRed-A-2
676,914,693,FITC+TxRed-A-2
677,901,687,FITC+TxRed-A-2
678,914,669,FITC+TxRed-A-2
679,889,630,FITC+TxRed-A-2
680,882,652,FITC+TxRed-A-2
681,862,667,FITC+TxRed-A-2
682,854,693,FITC+TxRed-A-2
683,843,721,FITC+TxRed-A-2
684,876,722,FITC+TxRed-A-2
685,896,732,FITC+TxRed-A-2
686,917,717,FITC+TxRed-A-2
687,915,734,FITC+TxRed-A-2
688,959,722,FITC+TxRed-A-2
689,901,777,FITC+TxRed-A-2
690,888,794,FITC+TxRed-A-2
691,880,757,FITC+TxRed-A-2
692,938,772,FITC+TxRed-A-2
693,957,778,FITC+TxRed-A-2
694,952,820,FITC+TxRed-A-2
695,948,833,FITC+TxRed-A-2
696,969,846,FITC+TxRed-A-2
697,997,893,FITC+TxRed-A-2
698,979,880,FITC+TxRed-A-2
699,974,897,FITC+TxRed-A-2
700,1011,884,FITC+TxRed-A-2
701,1000,916,FITC+TxRed-A-2
702,990,929,FITC+TxRed-A-2
703,1005,1003,FITC+TxRed-A-2
704,956,1007,FITC+TxRed-A-2
705,919,993,FITC+TxRed-A-2
706,903,1005,FITC+TxRed-A-2
707,879,999,FITC+TxRed-A-2
708,889,970,FITC+TxRed-A-2
709,873,959,FITC+TxRed-A-2
710,902,934,FITC+TxRed-A-2
711,890,916,FITC+TxRed-A-2
712,923,919,FITC+TxRed-A-2
713,944,907,FITC+TxRed-A-2
714,935,935,FITC+TxRed-A-2
715,946,975,FITC+TxRed-A-2
716,933,878,FITC+TxRed-A-2
717,944,854,FITC+TxRed-A-2
718,929,838,FITC+TxRed-A-2
719,919,857,FITC+TxRed-A-2
720,871,919,FITC+TxRed-A-2
721,853,912,FITC+TxRed-A-2
722,875,879,FITC+TxRed-A-2
723,866,874,FITC+TxRed-A-2
724,868,851,FITC+TxRed-A-2
725,871,824,FITC+TxRed-A-2
726,852,841,FITC+TxRed-A-2
727,840,893,FITC+TxRed-A-2
728,812,886,FITC+TxRed-A-2
729,805,929,FITC+TxRed-A-2
730,789,874,FITC+TxRed-A-2
731,795,852,FITC+TxRed-A-2
732,772,841,FITC+TxRed-A-2
733,818,840,FITC+TxRed-A-2
734,837,803,FITC+TxRed-A-2
735,748,775,FITC+TxRed-A-2
736,771,780,FITC+TxRed-A-2
737,775,748,FITC+TxRed-A-2
738,752,816,FITC+TxRed-A-2
739,747,799,FITC+TxRed-A-2
740,712,808,FITC+TxRed-A-2
741,726,785,FITC+TxRed-A-2
742,663,790,FITC+TxRed-A-2
743,649,777,FITC+TxRed-A-2
744,658,874,FITC+TxRed-A-2
745,622,856,FITC+TxRed-A-2
746,628,899,FITC+TxRed-A-2
747,617,916,FITC+TxRed-A-2
748,626,927,FITC+TxRed-A-2
749,618,945,FITC+TxRed-A-2
750,596,922,FITC+TxRed-A-2
751,580,961,FITC+TxRed-A-2
752,601,973,FITC+TxRed-A-2
753,585,995,FITC+TxRed-A-2
754,643,967,FITC+TxRed-A-2
755,582,897,FITC+TxRed-A-2
756,600,882,FITC+TxRed-A-2
757,584,831,FITC+TxRed-A-2
758,520,831,FITC+TxRed-A-2
759,516,762,FITC+TxRed-A-2
760,516,793,FITC+TxRed-A-2
761,681,746,FITC+TxRed-A-2
762,688,720,FITC+TxRed-A-2
763,655,726,FITC+TxRed-A-2
764,632,715,FITC+TxRed-A-2
765,644,704,FITC+TxRed-A-2
766,643,684,FITC+TxRed-A-2
767,673,680,FITC+TxRed-A-2
768,606,687,FITC+TxRed-A-2
769,594,660,FITC+TxRed-A-2
770,620,651,FITC+TxRed-A-2
771,587,635,FITC+TxRed-A-2
772,573,662,FITC+TxRed-A-2
773,563,615,FITC+TxRed-A-2
774,637,611,FITC+TxRed-A-2
775,664,644,FITC+TxRed-A-2
776,591,550,FITC+TxRed-A-2
777,608,507,FITC+TxRed-A-2
778,592,495,FITC+TxRed-A-2
779,564,546,FITC+TxRed-A-2
780,545,529,FITC+TxRed-A-2
781,537,504,FITC+TxRed-A-2
782,517,512,FITC+TxRed-A-2
783,475,504,FITC+TxRed-A-2
784,461,520,FITC+TxRed-A-2
785,548,429,FITC+TxRed-A-2
786,543,412,FITC+TxRed-A-2
787,562,397,FITC+TxRed-A-2
788,580,353,FITC+TxRed-A-2
789,559,333,FITC+TxRed-A-2
790,582,327,FITC+TxRed-A-2
791,599,330,FITC+TxRed-A-2
792,628,332,FITC+TxRed-A-2
793,645,341,FITC+TxRed-A-2
794,664,329,FITC+TxRed-A-2
795,648,322,FITC+TxRed-A-2
796,693,309,FITC+TxRed-A-2
797,716,276,FITC+TxRed-A-2
798,621,303,FITC+TxRed-A-2
799,620,257,FITC+TxRed-A-2
800,614,86,FITC+TxRed-A-2
801,606,68,FITC+TxRed-A-2
802,615,114,FITC+TxRed-A-2
803,596,95,FITC+TxRed-A-2
804,662,63,DAPI
805,662,96,DAPI
806,653,125,DAPI
807,584,185,DAPI
808,535,240,DAPI
809,535,267,DAPI
810,533,326,DAPI
811,525,309,DAPI
812,687,270,DAPI
813,669,287,DAPI
814,652,285,DAPI
815,633,285,DAPI
816,679,254,DAPI
817,693,229,DAPI
818,674,192,DAPI
819,772,103,DAPI
820,726,87,DAPI
821,736,103,DAPI
822,951,38,DAPI
823,930,115,DAPI
824,896,440,DAPI
825,937,738,DAPI
826,980,760,DAPI
827,969,749,DAPI
828,940,800,DAPI
829,1009,861,DAPI
830,976,950,DAPI
831,1018,966,DAPI
832,859,991,DAPI
833,698,873,DAPI
834,527,991,DAPI
835,557,1004,DAPI
836,498,780,DAPI
837,452,683,DAPI
838,334,572,DAPI
839,358,545,DAPI
840,75,487,DAPI
841,74,458,DAPI
842,116,334,DAPI
843,189,324,DAPI
844,161,307,DAPI
845,470,252,DAPI
846,484,277,DAPI
847,559,278,DAPI
848,423,168,DAPI
849,622,381,DAPI
850,543,551,DAPI
851,158,710,FITC+TxRed-A-1 
852,121,699,FITC+TxRed-A-1 
853,85,696,FITC+TxRed-A-1 
854,197,731,FITC+TxRed-A-1 
855,435,576,FITC+TxRed-A-1 
856,407,731,FITC+TxRed-A-1 
857,750,658,FITC+TxRed-A-1 
